date,goal_id,goal_name,completion_status,stress,energy,concentration,mood,readiness,available_minutes,normal_goal_minutes,time_fit,style_adjustment,style_task_multiplier,final_multiplier,has_fun_plan,fun_plan,mode,capacity,burnout_risk,goal_pressure,task,progress_update
2026-05-10 17:15:00,1,Achieve 1500+ on the SAT,Partly completed,0.355,0.611,0.745,0.759,0.678,60,75,0.8,1.0,1.0,0.35,True,Evening walk at the park,MINIMUM,0.195,0.231,0.324,Complete timed sat questions: 12 questions.,"{""goal_id"": 1, ""goal_name"": ""Achieve 1500+ on the SAT"", ""old_progress"": 1.0, ""new_progress"": 1.4, ""gain"": 0.4}"
2026-05-10 18:15:00,2,Earn A*s in A-Level Mathematics and Physics,Partly completed,0.306,0.663,0.785,0.759,0.724,90,90,1.0,1.0,1.0,1.0,False,,STEADY,0.307,0.199,0.224,Solve past-paper problems: 12 problems.,"{""goal_id"": 2, ""goal_name"": ""Earn A*s in A-Level Mathematics and Physics"", ""old_progress"": 1.0, ""new_progress"": 1.4, ""gain"": 0.4}"
2026-05-11 17:15:00,3,Build and launch a university portfolio app,Partly completed,0.315,0.775,0.778,0.75,0.776,30,75,0.4,1.0,1.0,0.35,True,Watch a movie at 8pm,MINIMUM,0.152,0.173,0.255,Work on the portfolio app: 26 minutes.,"{""goal_id"": 3, ""goal_name"": ""Build and launch a university portfolio app"", ""old_progress"": 1.0, ""new_progress"": 1.4, ""gain"": 0.4}"
2026-05-11 18:15:00,4,Complete five university application essays,Partly completed,0.374,0.712,0.73,0.75,0.721,60,60,1.0,1.0,1.0,1.0,False,,STEADY,0.291,0.212,0.316,Draft or revise application essays: 500 words.,"{""goal_id"": 4, ""goal_name"": ""Complete five university application essays"", ""old_progress"": 1.0, ""new_progress"": 1.4, ""gain"": 0.4}"
2026-05-12 17:15:00,5,Submit a competitive scholarship application,Partly completed,0.483,0.596,0.641,0.74,0.618,120,45,1.5,1.0,1.0,1.0,True,Evening walk at the park,STEADY,0.252,0.295,0.336,Research and prepare scholarship materials: 45 minutes.,"{""goal_id"": 5, ""goal_name"": ""Submit a competitive scholarship application"", ""old_progress"": 1.0, ""new_progress"": 1.4, ""gain"": 0.4}"
2026-05-12 18:15:00,1,Achieve 1500+ on the SAT,Skipped,0.445,0.763,0.609,0.74,0.586,120,75,1.5,1.0,1.0,1.2,False,,CATCH-UP,0.3,0.251,0.325,Complete timed sat questions: 42 questions.,
2026-05-13 17:15:00,2,Earn A*s in A-Level Mathematics and Physics,Skipped,0.422,0.788,0.629,0.728,0.608,60,90,0.667,1.0,1.0,1.2,True,Coffee with a friend after class,CATCH-UP,0.15,0.235,0.226,Solve past-paper problems: 14 problems.,
2026-05-13 18:15:00,3,Build and launch a university portfolio app,Skipped,0.459,0.748,0.598,0.728,0.573,90,75,1.2,1.0,1.0,1.2,False,,CATCH-UP,0.223,0.264,0.256,Work on the portfolio app: 90 minutes.,
2026-05-14 17:15:00,4,Complete five university application essays,Skipped,0.557,0.644,0.518,0.716,0.481,30,60,0.5,1.0,1.0,1.2,True,Dinner with family at 7pm,CATCH-UP,0.053,0.346,0.32,Draft or revise application essays: 600 words.,
2026-05-14 18:15:00,5,Submit a competitive scholarship application,Skipped,0.647,0.549,0.446,0.716,0.397,60,45,1.333,1.0,1.0,1.2,False,,CATCH-UP,0.079,0.426,0.339,Research and prepare scholarship materials: 54 minutes.,
2026-05-15 17:15:00,1,Achieve 1500+ on the SAT,Completed,0.302,0.788,0.789,0.702,0.788,90,75,1.2,1.0,1.0,1.0,True,Gaming session at 9pm,STEADY,0.482,0.175,0.33,Complete timed sat questions: 35 questions.,"{""goal_id"": 1, ""goal_name"": ""Achieve 1500+ on the SAT"", ""old_progress"": 1.4, ""new_progress"": 2.4, ""gain"": 1.0}"
2026-05-15 18:15:00,2,Earn A*s in A-Level Mathematics and Physics,Completed,0.315,0.775,0.778,0.702,0.776,120,90,1.333,1.0,1.0,1.0,False,,STEADY,0.506,0.183,0.227,Solve past-paper problems: 12 problems.,"{""goal_id"": 2, ""goal_name"": ""Earn A*s in A-Level Mathematics and Physics"", ""old_progress"": 1.4, ""new_progress"": 2.4, ""gain"": 1.0}"
2026-05-16 17:15:00,3,Build and launch a university portfolio app,Completed,0.394,0.57,0.714,0.688,0.642,60,75,0.8,1.0,1.0,0.35,True,Basketball with friends at 6pm,MINIMUM,0.16,0.272,0.259,Work on the portfolio app: 26 minutes.,"{""goal_id"": 3, ""goal_name"": ""Build and launch a university portfolio app"", ""old_progress"": 1.4, ""new_progress"": 2.4, ""gain"": 1.0}"
2026-05-16 18:15:00,4,Complete five university application essays,Completed,0.483,0.476,0.641,0.688,0.558,90,60,1.5,1.0,1.0,0.35,False,,MINIMUM,0.181,0.339,0.323,Draft or revise application essays: 175 words.,"{""goal_id"": 4, ""goal_name"": ""Complete five university application essays"", ""old_progress"": 1.4, ""new_progress"": 2.4, ""gain"": 1.0}"
2026-05-17 17:15:00,5,Submit a competitive scholarship application,Completed,0.581,0.371,0.562,0.673,0.466,30,45,0.667,1.0,1.0,0.35,True,Gaming session at 9pm,MINIMUM,0.042,0.423,0.346,Research and prepare scholarship materials: 16 minutes.,"{""goal_id"": 5, ""goal_name"": ""Submit a competitive scholarship application"", ""old_progress"": 1.4, ""new_progress"": 2.4, ""gain"": 1.0}"
2026-05-17 18:15:00,1,Achieve 1500+ on the SAT,Skipped,0.422,0.668,0.629,0.673,0.548,30,75,0.4,1.0,1.0,1.2,False,,CATCH-UP,0.069,0.279,0.33,Complete timed sat questions: 42 questions.,
2026-05-18 17:15:00,2,Earn A*s in A-Level Mathematics and Physics,Skipped,0.475,0.731,0.585,0.658,0.558,90,90,1.0,1.0,1.0,1.2,True,Watch a movie at 8pm,CATCH-UP,0.171,0.29,0.228,Solve past-paper problems: 14 problems.,
2026-05-18 18:15:00,3,Build and launch a university portfolio app,Skipped,0.557,0.644,0.518,0.658,0.481,120,75,1.5,1.0,1.0,1.2,False,,CATCH-UP,0.16,0.357,0.259,Work on the portfolio app: 90 minutes.,
2026-05-19 17:15:00,4,Complete five university application essays,Skipped,0.667,0.528,0.43,0.642,0.379,60,60,1.0,1.0,1.0,1.2,True,Evening walk at the park,CATCH-UP,0.052,0.459,0.325,Draft or revise application essays: 600 words.,
2026-05-19 18:15:00,5,Submit a competitive scholarship application,Skipped,0.726,0.465,0.382,0.642,0.323,90,45,1.5,1.0,1.0,1.2,False,,CATCH-UP,0.049,0.517,0.347,Research and prepare scholarship materials: 54 minutes.,
2026-05-20 17:15:00,1,Achieve 1500+ on the SAT,Partly completed,0.325,0.763,0.769,0.627,0.766,120,75,1.5,1.0,1.0,1.0,True,Coffee with a friend after class,STEADY,0.543,0.205,0.335,Complete timed sat questions: 35 questions.,"{""goal_id"": 1, ""goal_name"": ""Achieve 1500+ on the SAT"", ""old_progress"": 2.4, ""new_progress"": 2.8, ""gain"": 0.4}"
2026-05-20 18:15:00,2,Earn A*s in A-Level Mathematics and Physics,Partly completed,0.394,0.69,0.714,0.627,0.702,30,90,0.333,1.0,1.0,0.35,False,,MINIMUM,0.088,0.251,0.229,Solve past-paper problems: 4 problems.,"{""goal_id"": 2, ""goal_name"": ""Earn A*s in A-Level Mathematics and Physics"", ""old_progress"": 2.4, ""new_progress"": 2.8, ""gain"": 0.4}"
2026-05-21 17:15:00,3,Build and launch a university portfolio app,Partly completed,0.505,0.572,0.623,0.611,0.598,90,75,1.2,1.0,1.0,0.35,True,Dinner with family at 7pm,MINIMUM,0.178,0.339,0.263,Work on the portfolio app: 26 minutes.,"{""goal_id"": 3, ""goal_name"": ""Build and launch a university portfolio app"", ""old_progress"": 2.4, ""new_progress"": 2.8, ""gain"": 0.4}"
2026-05-21 18:15:00,4,Complete five university application essays,Partly completed,0.581,0.491,0.562,0.611,0.526,120,60,1.5,1.0,1.0,0.35,False,,MINIMUM,0.142,0.402,0.329,Draft or revise application essays: 175 words.,"{""goal_id"": 4, ""goal_name"": ""Complete five university application essays"", ""old_progress"": 2.4, ""new_progress"": 2.8, ""gain"": 0.4}"
2026-05-22 17:15:00,5,Submit a competitive scholarship application,Partly completed,0.62,0.45,0.53,0.596,0.49,60,45,1.333,1.0,1.0,0.35,True,Coffee with a friend after class,MINIMUM,0.098,0.44,0.354,Research and prepare scholarship materials: 16 minutes.,"{""goal_id"": 5, ""goal_name"": ""Submit a competitive scholarship application"", ""old_progress"": 2.4, ""new_progress"": 2.8, ""gain"": 0.4}"
2026-05-22 18:15:00,1,Achieve 1500+ on the SAT,Skipped,0.475,0.731,0.585,0.596,0.558,60,75,0.8,1.0,1.0,1.2,False,,CATCH-UP,0.137,0.302,0.337,Complete timed sat questions: 42 questions.,
2026-05-23 17:15:00,2,Earn A*s in A-Level Mathematics and Physics,Skipped,0.58,0.5,0.5,0.582,0.4,120,90,1.333,1.0,1.0,1.2,True,Basketball with friends at 6pm,CATCH-UP,0.087,0.425,0.231,Solve past-paper problems: 14 problems.,
2026-05-23 18:15:00,3,Build and launch a university portfolio app,Skipped,0.667,0.408,0.43,0.582,0.319,30,75,0.4,1.0,1.0,1.2,False,,CATCH-UP,0.013,0.504,0.264,Work on the portfolio app: 90 minutes.,
2026-05-24 17:15:00,4,Complete five university application essays,Skipped,0.734,0.337,0.375,0.568,0.256,90,60,1.5,1.0,1.0,1.2,True,Gaming session at 9pm,CATCH-UP,0.027,0.573,0.333,Draft or revise application essays: 600 words.,
2026-05-24 18:15:00,5,Submit a competitive scholarship application,Skipped,0.733,0.337,0.375,0.568,0.256,120,45,1.5,1.0,1.0,1.2,False,,CATCH-UP,0.027,0.573,0.358,Research and prepare scholarship materials: 54 minutes.,
2026-05-25 17:15:00,1,Achieve 1500+ on the SAT,Completed,0.415,0.668,0.696,0.555,0.682,30,75,0.4,1.0,1.0,0.35,True,Watch a movie at 8pm,MINIMUM,0.095,0.281,0.343,Complete timed sat questions: 12 questions.,"{""goal_id"": 1, ""goal_name"": ""Achieve 1500+ on the SAT"", ""old_progress"": 2.8, ""new_progress"": 3.8, ""gain"": 1.0}"
2026-05-25 18:15:00,2,Earn A*s in A-Level Mathematics and Physics,Completed,0.505,0.572,0.623,0.555,0.598,60,90,0.667,1.0,1.0,0.35,False,,MINIMUM,0.099,0.35,0.232,Solve past-paper problems: 4 problems.,"{""goal_id"": 2, ""goal_name"": ""Earn A*s in A-Level Mathematics and Physics"", ""old_progress"": 2.8, ""new_progress"": 3.8, ""gain"": 1.0}"
2026-05-26 17:15:00,3,Build and launch a university portfolio app,Completed,0.595,0.477,0.551,0.543,0.514,120,75,1.5,1.0,1.0,0.35,True,Evening walk at the park,MINIMUM,0.13,0.428,0.268,Work on the portfolio app: 26 minutes.,"{""goal_id"": 3, ""goal_name"": ""Build and launch a university portfolio app"", ""old_progress"": 2.8, ""new_progress"": 3.8, ""gain"": 1.0}"
2026-05-26 18:15:00,4,Complete five university application essays,Completed,0.62,0.45,0.53,0.543,0.49,30,60,0.5,1.0,1.0,0.35,False,,MINIMUM,0.037,0.451,0.337,Draft or revise application essays: 175 words.,"{""goal_id"": 4, ""goal_name"": ""Complete five university application essays"", ""old_progress"": 2.8, ""new_progress"": 3.8, ""gain"": 1.0}"
2026-05-27 17:15:00,5,Submit a competitive scholarship application,Completed,0.581,0.492,0.562,0.533,0.527,90,45,1.5,1.0,1.0,0.35,True,Watch a movie at 8pm,MINIMUM,0.142,0.418,0.365,Research and prepare scholarship materials: 16 minutes.,"{""goal_id"": 5, ""goal_name"": ""Submit a competitive scholarship application"", ""old_progress"": 2.8, ""new_progress"": 3.8, ""gain"": 1.0}"
2026-05-27 18:15:00,1,Achieve 1500+ on the SAT,Skipped,0.58,0.62,0.5,0.533,0.46,90,75,1.2,1.0,1.0,1.2,False,,CATCH-UP,0.111,0.402,0.343,Complete timed sat questions: 42 questions.,
2026-05-28 17:15:00,2,Earn A*s in A-Level Mathematics and Physics,Skipped,0.685,0.508,0.415,0.523,0.362,30,90,0.333,1.0,1.0,1.2,True,Dinner with family at 7pm,CATCH-UP,0.015,0.501,0.232,Solve past-paper problems: 14 problems.,
2026-05-28 18:15:00,3,Build and launch a university portfolio app,Skipped,0.734,0.457,0.375,0.523,0.316,60,75,0.8,1.0,1.0,1.2,False,,CATCH-UP,0.024,0.549,0.267,Work on the portfolio app: 90 minutes.,
2026-05-29 17:15:00,4,Complete five university application essays,Skipped,0.725,0.466,0.382,0.515,0.324,120,60,1.5,1.0,1.0,1.2,True,Coffee with a friend after class,CATCH-UP,0.049,0.542,0.34,Draft or revise application essays: 600 words.,
2026-05-29 18:15:00,5,Submit a competitive scholarship application,Skipped,0.666,0.528,0.43,0.515,0.379,30,45,0.667,1.0,1.0,1.2,False,,CATCH-UP,0.034,0.484,0.366,Research and prepare scholarship materials: 54 minutes.,
2026-05-30 17:15:00,1,Achieve 1500+ on the SAT,Partly completed,0.527,0.429,0.606,0.509,0.517,60,75,0.8,1.0,1.0,0.35,True,Basketball with friends at 6pm,MINIMUM,0.074,0.41,0.349,Complete timed sat questions: 12 questions.,"{""goal_id"": 1, ""goal_name"": ""Achieve 1500+ on the SAT"", ""old_progress"": 3.8, ""new_progress"": 4.2, ""gain"": 0.4}"
2026-05-30 18:15:00,2,Earn A*s in A-Level Mathematics and Physics,Partly completed,0.595,0.357,0.551,0.509,0.454,90,90,1.0,1.0,1.0,0.35,False,,MINIMUM,0.057,0.468,0.234,Solve past-paper problems: 4 problems.,"{""goal_id"": 2, ""goal_name"": ""Earn A*s in A-Level Mathematics and Physics"", ""old_progress"": 3.8, ""new_progress"": 4.2, ""gain"": 0.4}"
2026-05-31 17:15:00,3,Build and launch a university portfolio app,Partly completed,0.618,0.332,0.531,0.504,0.432,30,75,0.4,1.0,1.0,0.35,True,Gaming session at 9pm,MINIMUM,0.019,0.49,0.271,Work on the portfolio app: 26 minutes.,"{""goal_id"": 3, ""goal_name"": ""Build and launch a university portfolio app"", ""old_progress"": 3.8, ""new_progress"": 4.2, ""gain"": 0.4}"
2026-05-31 18:15:00,4,Complete five university application essays,Partly completed,0.581,0.372,0.562,0.504,0.467,60,60,1.0,1.0,1.0,0.35,False,,MINIMUM,0.064,0.456,0.344,Draft or revise application essays: 175 words.,"{""goal_id"": 4, ""goal_name"": ""Complete five university application essays"", ""old_progress"": 3.8, ""new_progress"": 4.2, ""gain"": 0.4}"
2026-06-01 17:15:00,5,Submit a competitive scholarship application,Partly completed,0.482,0.596,0.642,0.501,0.619,120,45,1.5,1.0,1.0,1.0,True,Basketball with friends at 6pm,STEADY,0.252,0.342,0.375,Research and prepare scholarship materials: 45 minutes.,"{""goal_id"": 5, ""goal_name"": ""Submit a competitive scholarship application"", ""old_progress"": 3.8, ""new_progress"": 4.2, ""gain"": 0.4}"
2026-06-01 18:15:00,1,Achieve 1500+ on the SAT,Skipped,0.685,0.508,0.415,0.501,0.362,120,75,1.5,1.0,1.0,1.2,False,,CATCH-UP,0.067,0.505,0.351,Complete timed sat questions: 42 questions.,
2026-06-02 17:15:00,2,Earn A*s in A-Level Mathematics and Physics,Skipped,0.738,0.452,0.371,0.5,0.311,60,90,0.667,1.0,1.0,1.2,True,Evening walk at the park,CATCH-UP,0.019,0.558,0.236,Solve past-paper problems: 14 problems.,
2026-06-02 18:15:00,3,Build and launch a university portfolio app,Skipped,0.725,0.466,0.382,0.5,0.324,90,75,1.2,1.0,1.0,1.2,False,,CATCH-UP,0.039,0.545,0.272,Work on the portfolio app: 90 minutes.,
2026-06-03 17:15:00,4,Complete five university application essays,Skipped,0.646,0.55,0.446,0.5,0.398,30,60,0.5,1.0,1.0,1.2,True,Watch a movie at 8pm,CATCH-UP,0.03,0.468,0.348,Draft or revise application essays: 600 words.,
2026-06-03 18:15:00,5,Submit a competitive scholarship application,Skipped,0.557,0.645,0.519,0.5,0.482,60,45,1.333,1.0,1.0,1.2,False,,CATCH-UP,0.143,0.388,0.378,Research and prepare scholarship materials: 54 minutes.,
2026-06-04 17:15:00,1,Achieve 1500+ on the SAT,Completed,0.606,0.465,0.542,0.503,0.503,90,75,1.2,1.0,1.0,0.35,True,Dinner with family at 7pm,MINIMUM,0.097,0.446,0.357,Complete timed sat questions: 12 questions.,"{""goal_id"": 1, ""goal_name"": ""Achieve 1500+ on the SAT"", ""old_progress"": 4.2, ""new_progress"": 5.2, ""gain"": 1.0}"
2026-06-04 18:15:00,2,Earn A*s in A-Level Mathematics and Physics,Completed,0.618,0.452,0.531,0.503,0.492,120,90,1.333,1.0,1.0,0.35,False,,MINIMUM,0.099,0.457,0.237,Solve past-paper problems: 4 problems.,"{""goal_id"": 2, ""goal_name"": ""Earn A*s in A-Level Mathematics and Physics"", ""old_progress"": 4.2, ""new_progress"": 5.2, ""gain"": 1.0}"
2026-06-05 17:15:00,3,Build and launch a university portfolio app,Completed,0.565,0.509,0.575,0.506,0.542,60,75,0.8,1.0,1.0,0.35,True,Coffee with a friend after class,MINIMUM,0.084,0.409,0.276,Work on the portfolio app: 26 minutes.,"{""goal_id"": 3, ""goal_name"": ""Build and launch a university portfolio app"", ""old_progress"": 4.2, ""new_progress"": 5.2, ""gain"": 1.0}"
2026-06-05 18:15:00,4,Complete five university application essays,Completed,0.482,0.596,0.642,0.506,0.619,90,60,1.5,1.0,1.0,1.0,False,,STEADY,0.252,0.341,0.353,Draft or revise application essays: 500 words.,"{""goal_id"": 4, ""goal_name"": ""Complete five university application essays"", ""old_progress"": 4.2, ""new_progress"": 5.2, ""gain"": 1.0}"
2026-06-06 17:15:00,5,Submit a competitive scholarship application,Completed,0.373,0.592,0.731,0.512,0.661,30,45,0.667,1.0,1.0,0.35,True,Dinner with family at 7pm,MINIMUM,0.148,0.293,0.387,Research and prepare scholarship materials: 16 minutes.,"{""goal_id"": 5, ""goal_name"": ""Submit a competitive scholarship application"", ""old_progress"": 4.2, ""new_progress"": 5.2, ""gain"": 1.0}"
2026-06-06 18:15:00,1,Achieve 1500+ on the SAT,Skipped,0.738,0.332,0.371,0.512,0.251,30,75,0.4,1.0,1.0,1.2,False,,CATCH-UP,0.007,0.589,0.357,Complete timed sat questions: 42 questions.,
2026-06-07 17:15:00,2,Earn A*s in A-Level Mathematics and Physics,Skipped,0.714,0.357,0.391,0.519,0.274,90,90,1.0,1.0,1.0,1.2,True,Gaming session at 9pm,CATCH-UP,0.022,0.563,0.238,Solve past-paper problems: 14 problems.,
2026-06-07 18:15:00,3,Build and launch a university portfolio app,Skipped,0.646,0.43,0.446,0.519,0.338,120,75,1.5,1.0,1.0,1.2,False,,CATCH-UP,0.06,0.497,0.276,Work on the portfolio app: 90 minutes.,
2026-06-08 17:15:00,4,Complete five university application essays,Skipped,0.535,0.668,0.537,0.527,0.503,60,60,1.0,1.0,1.0,1.2,True,Basketball with friends at 6pm,CATCH-UP,0.123,0.364,0.355,Draft or revise application essays: 600 words.,
2026-06-08 18:15:00,5,Submit a competitive scholarship application,Skipped,0.459,0.749,0.598,0.527,0.574,90,45,1.5,1.0,1.0,1.2,False,,CATCH-UP,0.279,0.303,0.389,Research and prepare scholarship materials: 54 minutes.,
2026-06-09 17:15:00,1,Achieve 1500+ on the SAT,Partly completed,0.613,0.457,0.535,0.537,0.496,120,75,1.5,1.0,1.0,0.35,True,Evening walk at the park,MINIMUM,0.115,0.446,0.363,Complete timed sat questions: 12 questions.,"{""goal_id"": 1, ""goal_name"": ""Achieve 1500+ on the SAT"", ""old_progress"": 5.2, ""new_progress"": 5.6, ""gain"": 0.4}"
2026-06-09 18:15:00,2,Earn A*s in A-Level Mathematics and Physics,Partly completed,0.565,0.509,0.575,0.537,0.542,30,90,0.333,1.0,1.0,0.35,False,,MINIMUM,0.035,0.403,0.239,Solve past-paper problems: 4 problems.,"{""goal_id"": 2, ""goal_name"": ""Earn A*s in A-Level Mathematics and Physics"", ""old_progress"": 5.2, ""new_progress"": 5.6, ""gain"": 0.4}"
2026-06-10 17:15:00,3,Build and launch a university portfolio app,Partly completed,0.46,0.62,0.66,0.548,0.64,90,75,1.2,1.0,1.0,1.0,True,Watch a movie at 8pm,STEADY,0.228,0.315,0.28,Work on the portfolio app: 75 minutes.,"{""goal_id"": 3, ""goal_name"": ""Build and launch a university portfolio app"", ""old_progress"": 5.2, ""new_progress"": 5.6, ""gain"": 0.4}"
2026-06-10 18:15:00,4,Complete five university application essays,Partly completed,0.373,0.712,0.731,0.548,0.721,120,60,1.5,1.0,1.0,1.0,False,,STEADY,0.437,0.252,0.36,Draft or revise application essays: 500 words.,"{""goal_id"": 4, ""goal_name"": ""Complete five university application essays"", ""old_progress"": 5.2, ""new_progress"": 5.6, ""gain"": 0.4}"
2026-06-11 17:15:00,5,Submit a competitive scholarship application,Partly completed,0.306,0.783,0.785,0.561,0.784,60,45,1.333,1.0,1.0,1.0,True,Evening walk at the park,STEADY,0.525,0.206,0.398,Research and prepare scholarship materials: 45 minutes.,"{""goal_id"": 5, ""goal_name"": ""Submit a competitive scholarship application"", ""old_progress"": 5.2, ""new_progress"": 5.6, ""gain"": 0.4}"
2026-06-11 18:15:00,1,Achieve 1500+ on the SAT,Skipped,0.714,0.477,0.391,0.561,0.334,60,75,0.8,1.0,1.0,1.2,False,,CATCH-UP,0.028,0.522,0.366,Complete timed sat questions: 42 questions.,
2026-06-12 17:15:00,2,Earn A*s in A-Level Mathematics and Physics,Skipped,0.625,0.572,0.464,0.574,0.418,120,90,1.333,1.0,1.0,1.2,True,Coffee with a friend after class,CATCH-UP,0.093,0.434,0.241,Solve past-paper problems: 14 problems.,
2026-06-12 18:15:00,3,Build and launch a university portfolio app,Skipped,0.535,0.668,0.537,0.574,0.503,30,75,0.4,1.0,1.0,1.2,False,,CATCH-UP,0.049,0.355,0.282,Work on the portfolio app: 90 minutes.,
2026-06-13 17:15:00,4,Complete five university application essays,Skipped,0.445,0.643,0.61,0.588,0.526,90,60,1.5,1.0,1.0,1.2,True,Dinner with family at 7pm,CATCH-UP,0.227,0.314,0.365,Draft or revise application essays: 600 words.,
2026-06-13 18:15:00,5,Submit a competitive scholarship application,Skipped,0.42,0.67,0.63,0.588,0.55,120,45,1.5,1.0,1.0,1.2,False,,CATCH-UP,0.26,0.295,0.403,Research and prepare scholarship materials: 54 minutes.,
2026-06-14 17:15:00,1,Achieve 1500+ on the SAT,Completed,0.546,0.408,0.59,0.603,0.499,30,75,0.4,1.0,1.0,0.35,True,Gaming session at 9pm,MINIMUM,0.032,0.407,0.372,Complete timed sat questions: 12 questions.,"{""goal_id"": 1, ""goal_name"": ""Achieve 1500+ on the SAT"", ""old_progress"": 5.6, ""new_progress"": 6.6, ""gain"": 1.0}"
2026-06-14 18:15:00,2,Earn A*s in A-Level Mathematics and Physics,Completed,0.46,0.5,0.66,0.603,0.58,60,90,0.667,1.0,1.0,0.35,False,,MINIMUM,0.093,0.337,0.243,Solve past-paper problems: 4 problems.,"{""goal_id"": 2, ""goal_name"": ""Earn A*s in A-Level Mathematics and Physics"", ""old_progress"": 5.6, ""new_progress"": 6.6, ""gain"": 1.0}"
2026-06-15 17:15:00,3,Build and launch a university portfolio app,Completed,0.355,0.732,0.745,0.618,0.739,120,75,1.5,1.0,1.0,1.0,True,Basketball with friends at 6pm,STEADY,0.476,0.226,0.286,Work on the portfolio app: 75 minutes.,"{""goal_id"": 3, ""goal_name"": ""Build and launch a university portfolio app"", ""old_progress"": 5.6, ""new_progress"": 6.6, ""gain"": 1.0}"
2026-06-15 18:15:00,4,Complete five university application essays,Completed,0.306,0.783,0.785,0.618,0.784,30,60,0.5,1.0,1.0,0.35,False,,MINIMUM,0.197,0.194,0.37,Draft or revise application essays: 175 words.,"{""goal_id"": 4, ""goal_name"": ""Complete five university application essays"", ""old_progress"": 5.6, ""new_progress"": 6.6, ""gain"": 1.0}"
2026-06-16 17:15:00,5,Submit a competitive scholarship application,Completed,0.315,0.774,0.778,0.634,0.776,90,45,1.5,1.0,1.0,1.0,True,Gaming session at 9pm,STEADY,0.569,0.197,0.413,Research and prepare scholarship materials: 45 minutes.,"{""goal_id"": 5, ""goal_name"": ""Submit a competitive scholarship application"", ""old_progress"": 5.6, ""new_progress"": 6.6, ""gain"": 1.0}"
2026-06-16 18:15:00,1,Achieve 1500+ on the SAT,Skipped,0.625,0.572,0.464,0.634,0.418,90,75,1.2,1.0,1.0,1.2,False,,CATCH-UP,0.083,0.422,0.373,Complete timed sat questions: 42 questions.,
